	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0710520732447627	1.0736371321819	0.17129054907824	0.414804398883142	0.678285099105735	0.767458222796549	1.50196669650559
BRCA	0.168000804128206	1.18293756188089	0.173006401642801	0.971066980949468	0.331514925039234	0.842749505037405	1.66044746030031
CESC	0.318156222857119	1.37459098698595	0.302224830835325	1.05271370978275	0.292472223312632	0.760184919007917	2.48557993490439
CHOL	0.516881368410505	1.67679019622495	0.537823340623851	0.961061615159628	0.336521188312309	0.584362944282232	4.81143677857537
COAD	0.218540074147168	1.24425887824148	0.182754280277959	1.19581371125634	0.231769264051745	0.869661056721948	1.78021097313288
ESCA	0.343522348595446	1.40990503152794	0.296593968044352	1.1582243255334	0.246772503829256	0.788367326937209	2.52145431451415
GBM	-0.43877315497641	0.644827038844925	0.265492220406409	-1.65267801182553	0.0983964117247667	0.383226781916629	1.08500222230286
HNSC	0.262312052281328	1.29993212592993	0.171202820739052	1.53217132258087	0.125480163233056	0.929378393478521	1.81822984468141
KICH	-0.954760478411446	0.384904326408468	1.0764196005831	-0.886977975776594	0.375090758175865	0.0466769819441214	3.17397000228751
KIRC	0.0677513552591308	1.07009920085851	0.205263443716458	0.330070245497389	0.741346885141054	0.715654620669343	1.60009069543493
KIRP	0.878719608726711	2.40781478684584	0.369361419632309	2.37902380167765	0.0173585550847997	1.16740639174408	4.96619865091881
LIHC	0.250451099562263	1.28460477065448	0.17987809232528	1.39233797915404	0.163820075861074	0.902936108294007	1.82760374918014
LUAD	0.251408831910681	1.28583566753906	0.150624984969595	1.66910444479998	0.0950966825857247	0.957135112794249	1.72741898381388
LUSC	0.27671956229417	1.31879647891253	0.148079947245067	1.86871732089564	0.0616621529184071	0.986579073492497	1.76288368517206
PAAD	0.460847226393786	1.58541662296313	0.291367282873966	1.58167115349437	0.113724661273043	0.895635143984312	2.80643952534743
PCPG	2.81469508661947	16.688086583594	1.56721249299448	1.79598816318866	0.0724963995771338	0.773379848581526	360.097608351598
PRAD	-0.664408261498337	0.514577933208707	1.042704601731	-0.637197016676964	0.523996520694399	0.0666652315952411	3.97194224049237
READ	-0.631357008510963	0.531869559554793	0.341513898127258	-1.84870077608291	0.0645010315773944	0.272337833332974	1.03872908482436
SARC	0.477629291935924	1.61224769936535	0.19793127271392	2.41310675865893	0.0158171858223137	1.09383637390866	2.37635418432876
STAD	-0.063197299634903	0.938758238758573	0.170792385060982	-0.370024106240674	0.711364529000112	0.671699491873378	1.31199597662227
THCA	0.912610457909133	2.49081622485746	1.05884116273222	0.861895523171995	0.388745012774558	0.312647135693373	19.8439862634721
THYM	-3.20537908577977	0.0405435292489291	1.81659705469003	-1.76449646744952	0.077648429576141	0.00115247452507546	1.42630290578539
UCEC	0.703439340845238	2.02069061348217	0.230536177256723	3.05131866597187	0.00227838623600052	1.28607730439177	3.17491844500438
