	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0210411988791985	1.02126412570817	0.0659729814037439	0.31893660755499	0.749774583967725	0.897391130873953	1.16223615163516
BRCA	0.0830907407781346	1.08664040667079	0.0683786932862306	1.21515543490017	0.224306813946703	0.950346109096877	1.24248140978003
CESC	-0.0437975949457606	0.957147669394188	0.174094033187014	-0.251574359809981	0.801370079219487	0.680440000901669	1.34638125303147
CHOL	0.362924413163039	1.43752719700068	0.273595059481244	1.3265020715329	0.184673449429996	0.84087517899546	2.45754006508471
COAD	-0.0619958186728664	0.939886816757122	0.140755174470825	-0.440451435664388	0.659610178600089	0.713287373578171	1.23847310500166
ESCA	-0.0936007672797088	0.910646249457338	0.158023714174872	-0.592321018199387	0.553635643986064	0.668097234262131	1.24125134654478
GBM	0.00472789895886169	1.00473909310779	0.0798486932831866	0.0592107242393311	0.95278426792289	0.859183581823296	1.17495337035745
HNSC	0.00136327961672545	1.00136420930481	0.086575540357515	0.0157467064149501	0.987436465276583	0.845081960692669	1.18654796376763
KICH	0.794800941621617	2.21400023764008	0.21093440282393	3.76800052993275	0.000164560353372963	1.46429970187906	3.34753674126965
KIRC	0.454774571435991	1.57581810857764	0.0801933100039956	5.67097893095237	1.41983860661459e-08	1.34662110798316	1.8440247940568
KIRP	0.928533133595751	2.53079411666914	0.147830964556715	6.28104630433849	3.36301950433506e-10	1.89418708435592	3.38135494316549
LIHC	0.12681574121098	1.13520782649002	0.0590132047961437	2.1489383884345	0.0316392842358227	1.01121440038716	1.27440512005248
LUAD	0.197050314190936	1.21780531205348	0.0636766983922049	3.09454351695876	0.00197116015751886	1.0749200413651	1.37968380995322
LUSC	-0.0299969262094623	0.970448516499391	0.0878139274530498	-0.341596453768684	0.732654606324042	0.817005819318652	1.15270944331983
PAAD	0.317620425983184	1.37385468270456	0.107972251195813	2.941685687438	0.00326431068945927	1.11182043370698	1.69764525994194
PCPG	0.461808294261553	1.58694104835728	0.307122741230627	1.50366036852598	0.132668838600416	0.869235475571427	2.89723781614612
PRAD	0.660822636398526	1.93638461984609	0.259353267729581	2.5479634098443	0.0108353835263521	1.16474196402262	3.21924126698987
READ	-0.275605668326875	0.759112213738318	0.248754862382427	-1.10794082852205	0.26788737131028	0.466192686686975	1.23607977881818
SARC	0.200373818451431	1.22185942639799	0.0780522897728182	2.56717412179253	0.0102531112472511	1.04853519897276	1.42383437326686
STAD	-0.120775088497768	0.886233261233532	0.0827201751270663	-1.46004391688297	0.144278004506585	0.753592391073595	1.04222043988223
THCA	0.0143013344688233	1.01440408780489	0.166726608115147	0.0857771571706559	0.931643565475592	0.731632593333378	1.40646502456513
THYM	-0.428443477565096	0.651522415146763	0.192053229160439	-2.23085797327146	0.0256905383453494	0.447150125361102	0.949304122627441
UCEC	0.155351255869597	1.1680681798593	0.0980838397263518	1.58386189104156	0.113225151300976	0.963782591342821	1.41565461449023
