	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0872264323296457	1.09114372196299	0.06899536095803	1.26423619093327	0.20614526456529	0.953131890106365	1.24913942586307
BRCA	0.0663998511961958	1.06865393430261	0.0620408625046624	1.070259962798	0.284502310565076	0.946297757825437	1.20683074841557
CESC	-0.311124721989691	0.732622496035516	0.173342836571308	-1.7948519139509	0.072677297006883	0.521591565651306	1.02903451099155
CHOL	0.508213685074992	1.66231911575488	0.240644805632074	2.11188304580323	0.0346964819239487	1.03723501468641	2.66410678725452
COAD	-0.209082109121459	0.811328615428557	0.0907540823413065	-2.30383145008449	0.0212321069400891	0.679120403799454	0.969274547680361
ESCA	0.0352957483561161	1.03592603692185	0.143379760718649	0.246169669827921	0.805550893190867	0.782138519850765	1.3720622712424
GBM	0.0748582945540557	1.07773141965203	0.0798085611158063	0.937973238803698	0.3482581630401	0.921674079479837	1.26021230146854
HNSC	0.0204763799233534	1.02068745924245	0.0721767286270963	0.283697811092899	0.77664197233754	0.886045115975706	1.17578989000755
KICH	0.671304694157266	1.95678866665129	0.172706814701006	3.88696123728206	0.000101506955763499	1.39487604885563	2.74506246564079
KIRC	0.321934125394114	1.37979387958538	0.0737768794079019	4.36361808709997	1.27928834308264e-05	1.19402995054324	1.59445845497854
KIRP	0.609032566987377	1.8386517656657	0.105624623795514	5.76600933667179	8.11705644678869e-09	1.49482943266018	2.26155589495549
LIHC	0.263322088801469	1.30124576815246	0.0619436740165219	4.25099242145752	2.12825370291185e-05	1.15247835944598	1.46921678420812
LUAD	0.18177912954198	1.19934926380211	0.0494230329779453	3.67802456848606	0.000235047323885844	1.08862100787543	1.32134015986881
LUSC	-0.0977022332191607	0.906918913877371	0.0678561486136021	-1.43984348088356	0.149911686436735	0.793979338089087	1.03592357746748
PAAD	0.395049151067579	1.48445715178163	0.100134053908182	3.94520281212046	7.97324648491113e-05	1.21992576896278	1.80635010058786
PCPG	0.675201971876545	1.96442969545734	0.374576485602561	1.80257436819715	0.0714550854845127	0.942749711031717	4.09332825376468
PRAD	0.261497653662965	1.29887389397242	0.234483963009336	1.11520485370061	0.264762646613488	0.820302201020328	2.05664862333006
READ	-0.161769779259735	0.850637016282991	0.203625187453775	-0.794448767770729	0.426934223094604	0.570713576215695	1.26785722931069
SARC	0.201935063682538	1.22376853850884	0.0831979780138283	2.42716311746151	0.0152174122350033	1.03963534638094	1.4405141582165
STAD	-0.0479327311317021	0.953197905465259	0.0652537715988695	-0.734558784224091	0.462608247005088	0.838762428165656	1.08324624050031
THCA	-0.107889061067218	0.897727183801975	0.211236541797401	-0.510749987427343	0.6095261333084	0.593389019778442	1.35815471752061
THYM	-0.405906022040075	0.666372788837569	0.166781411828798	-2.43376055874104	0.0149428762510137	0.480565577375669	0.924021017335649
UCEC	0.149357276163876	1.16108774408879	0.0939486556248413	1.5897755552809	0.111885405794821	0.965819123305471	1.395835635206
